Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
Drill: .02756  Tool: 5  Feed: 197  Speed: 550
X 580400  Y 621400
X 589455  Y 621400

Drill: .02953  Tool: 6  Feed: 197  Speed: 550
X 582920  Y 547445

Drill: .035  Tool: 7  Feed: 197  Speed: 550
X 526200  Y 621000
X 536200  Y 621000
X 546200  Y 621000
X 551967  Y 507286
X 556200  Y 621000
X 561967  Y 507286
X 584720  Y 594445

Drill: .037  Tool: 8  Feed: 197  Speed: 550
X 608947  Y 615615
X 618947  Y 615615

Drill: .04331  Tool: 9  Feed: 139  Speed: 550
X 581800  Y 518000
X 581800  Y 508000
X 677000  Y 619600
X 677000  Y 609600

Drill: .04528  Tool: 10  Feed: 139  Speed: 550
X 669003  Y 550294
X 669573  Y 572841

Drill: .06  Tool: 11  Feed: 89  Speed: 550
X 731600  Y 577400
X 731600  Y 569700
X 731600  Y 562000
X 731600  Y 554300
X 858900  Y 630800
X 851200  Y 630800
X 843500  Y 630800
X 835800  Y 630800
X 627300  Y 630400
X 619600  Y 630400
X 611900  Y 630400
X 604200  Y 630400
X 732000  Y 702500
X 732000  Y 694800
X 732000  Y 687100
X 732000  Y 710200
X 858500  Y 764000
X 850800  Y 764000
X 843100  Y 764000
X 835400  Y 764000
X 626900  Y 763600
X 619200  Y 763600
X 611500  Y 763600
X 603800  Y 763600
X 603800  Y 898400
X 611500  Y 898400
X 619200  Y 898400
X 626900  Y 898400
X 731600  Y 823500
X 731600  Y 846600
X 731600  Y 838900
X 731600  Y 831200
X 835400  Y 898800
X 843100  Y 898800
X 850800  Y 898800
X 858500  Y 898800
X 731200  Y 955900
X 731200  Y 971300
X 731200  Y 963600
X 731200  Y 979000
X 605800  Y 1032000
X 613500  Y 1032000
X 621200  Y 1032000
X 628900  Y 1032000
X 837400  Y 1032400
X 845100  Y 1032400
X 852800  Y 1032400
X 860500  Y 1032400
X 731200  Y 1089500
X 731200  Y 1097200
X 731200  Y 1104900
X 731200  Y 1112600

Drill: .07874  Tool: 12  Feed: 81  Speed: 550
X 508200  Y 509800
X 508400  Y 616200
X 720554  Y 614920
X 720645  Y 511879

End of Listing
